x,y
1825.0,75.0
2275.0,75.0
3175.0,75.0
3675.0,75.0
225.0,125.0
825.0,125.0
2725.0,125.0
1475.0,275.0
175.0,525.0
3425.0,525.0
1825.0,575.0
925.0,625.0
2625.0,675.0
3875.0,675.0
75.0,925.0
3675.0,1125.0
1575.0,1175.0
3225.0,1175.0
775.0,1325.0
75.0,1475.0
1875.0,1525.0
2475.0,1575.0
3875.0,1575.0
3475.0,1625.0
2525.0,2025.0
1425.0,2075.0
3875.0,2125.0
3275.0,2375.0
525.0,2425.0
1825.0,2425.0
75.0,2475.0
3825.0,2525.0
1575.0,2875.0
275.0,3025.0
2225.0,3075.0
3375.0,3125.0
3925.0,3125.0
2925.0,3225.0
625.0,3325.0
1425.0,3325.0
75.0,3375.0
2075.0,3475.0
975.0,3525.0
3375.0,3625.0
75.0,3825.0
625.0,3825.0
1325.0,3825.0
1775.0,3825.0
2925.0,3825.0
3925.0,3875.0
